CG_TYPE;NUMMER;PCA;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER;VOLGNUMMER
BAAN;26;Strukton Rail;20221206;C;20;1
BAAN;25;Strukton Rail;20221206;C;20;1
BAAN;8;Strukton Rail;20221206;C;20;1
BAAN;70;Infraspeed;20221206;C;20;1
BAAN;5;ASSET Rail;20221206;C;20;1
BAAN;4;VolkerRail;20221206;C;20;1
BAAN;99;VolkerRail;20221206;C;20;1
BAAN;15;ASSET Rail;20221206;C;20;1
BAAN;13;ASSET Rail;20221206;C;20;1
BAAN;14;ASSET Rail;20221206;C;20;1
BAAN;35;ASSET Rail;20221206;C;20;1
BAAN;37;Strukton Rail;20221206;C;20;1
BAAN;71;VolkerRail;20221206;C;20;1
BAAN;30;ASSET Rail;20221206;C;20;1
BAAN;11;Strukton Rail;20221206;C;20;1
BAAN;34;ASSET Rail;20221206;C;20;1
BAAN;33;Strukton Rail;20221206;C;20;1
BAAN;20;ASSET Rail;20221206;C;20;1
BAAN;23;ASSET Rail;20221206;C;20;1
BAAN;22;Strukton Rail;20221206;C;20;1
BAAN;28;ASSET Rail;20221206;C;20;1
BAAN;18;Strukton Rail;20221206;C;20;1
BAAN;19;Strukton Rail;20221206;C;20;1
BAAN;16;ASSET Rail;20221206;C;20;1
BAAN;2;VolkerRail;20221206;C;20;1
BAAN;6;VolkerRail;20221206;C;20;1
BAAN;12;ASSET Rail;20221206;C;20;1
BAAN;27;ASSET Rail;20221206;C;20;1
BAAN;10;Strukton Rail;20221206;C;20;1
BAAN;1;BAM Rail;20221206;C;20;1
BAAN;21;Strukton Rail;20221206;C;20;1
BAAN;81;BAM Rail;20221206;C;20;1
BAAN;3;VolkerRail;20221206;C;20;1
BAAN;9;VolkerRail;20221206;C;20;1
BAAN;31;Strukton Rail;20221206;C;20;1
BAAN;29;Strukton Rail;20221206;C;20;1
BAAN;7;VolkerRail;20221206;C;20;1
BAAN;32;VolkerRail;20221206;C;20;1
BAAN;24;ASSET Rail;20221206;C;20;1
BAAN;36;Strukton Rail;20221206;C;20;1
BASIS;25;Strukton Rail;20221206;C;20;1
BASIS;26;Strukton Rail;20221206;C;20;1
BASIS;8;Strukton Rail;20221206;C;20;1
BASIS;70;Infraspeed;20221206;C;20;1
BASIS;5;ASSET Rail;20221206;C;20;1
BASIS;4;VolkerRail;20221206;C;20;1
BASIS;99;VolkerRail;20221206;C;20;1
BASIS;14;ASSET Rail;20221206;C;20;1
BASIS;13;ASSET Rail;20221206;C;20;1
BASIS;15;ASSET Rail;20221206;C;20;1
BASIS;37;Strukton Rail;20221206;C;20;1
BASIS;35;ASSET Rail;20221206;C;20;1
BASIS;71;VolkerRail;20221206;C;20;1
BASIS;30;ASSET Rail;20221206;C;20;1
BASIS;34;ASSET Rail;20221206;C;20;1
BASIS;11;Strukton Rail;20221206;C;20;1
BASIS;33;Strukton Rail;20221206;C;20;1
BASIS;20;ASSET Rail;20221206;C;20;1
BASIS;23;ASSET Rail;20221206;C;20;1
BASIS;22;Strukton Rail;20221206;C;20;1
BASIS;29;Strukton Rail;20221206;C;20;1
BASIS;21;Strukton Rail;20221206;C;20;1
BASIS;7;VolkerRail;20221206;C;20;1
BASIS;27;ASSET Rail;20221206;C;20;1
BASIS;3;VolkerRail;20221206;C;20;1
BASIS;16;ASSET Rail;20221206;C;20;1
BASIS;6;VolkerRail;20221206;C;20;1
BASIS;28;ASSET Rail;20221206;C;20;1
BASIS;2;VolkerRail;20221206;C;20;1
BASIS;18;Strukton Rail;20221206;C;20;1
BASIS;12;ASSET Rail;20221206;C;20;1
BASIS;32;VolkerRail;20221206;C;20;1
BASIS;24;ASSET Rail;20221206;C;20;1
BASIS;1;BAM Rail;20221206;C;20;1
BASIS;9;VolkerRail;20221206;C;20;1
BASIS;19;Strukton Rail;20221206;C;20;1
BASIS;36;Strukton Rail;20221206;C;20;1
BASIS;10;Strukton Rail;20221206;C;20;1
BASIS;81;BAM Rail;20221206;C;20;1
BASIS;31;Strukton Rail;20221206;C;20;1
BVL;26;Strukton Rail;20221206;C;20;1
BVL;25;Strukton Rail;20221206;C;20;1
BVL;8;Strukton Rail;20221206;C;20;1
BVL;70;Infraspeed;20221206;C;20;1
BVL;5;ASSET Rail;20221206;C;20;1
BVL;4;VolkerRail;20221206;C;20;1
BVL;99;VolkerRail;20221206;C;20;1
BVL;15;ASSET Rail;20221206;C;20;1
BVL;14;ASSET Rail;20221206;C;20;1
BVL;13;ASSET Rail;20221206;C;20;1
BVL;35;ASSET Rail;20221206;C;20;1
BVL;37;Strukton Rail;20221206;C;20;1
BVL;71;VolkerRail;20221206;C;20;1
BVL;30;ASSET Rail;20221206;C;20;1
BVL;34;ASSET Rail;20221206;C;20;1
BVL;11;Strukton Rail;20221206;C;20;1
BVL;33;Strukton Rail;20221206;C;20;1
BVL;20;ASSET Rail;20221206;C;20;1
BVL;23;ASSET Rail;20221206;C;20;1
BVL;22;Strukton Rail;20221206;C;20;1
BVL;19;Strukton Rail;20221206;C;20;1
BVL;1;BAM Rail;20221206;C;20;1
BVL;32;VolkerRail;20221206;C;20;1
BVL;28;ASSET Rail;20221206;C;20;1
BVL;7;VolkerRail;20221206;C;20;1
BVL;9;VolkerRail;20221206;C;20;1
BVL;2;VolkerRail;20221206;C;20;1
BVL;16;ASSET Rail;20221206;C;20;1
BVL;6;VolkerRail;20221206;C;20;1
BVL;29;Strukton Rail;20221206;C;20;1
BVL;81;BAM Rail;20221206;C;20;1
BVL;27;ASSET Rail;20221206;C;20;1
BVL;24;ASSET Rail;20221206;C;20;1
BVL;12;ASSET Rail;20221206;C;20;1
BVL;3;VolkerRail;20221206;C;20;1
BVL;18;Strukton Rail;20221206;C;20;1
BVL;10;Strukton Rail;20221206;C;20;1
BVL;21;Strukton Rail;20221206;C;20;1
BVL;36;Strukton Rail;20221206;C;20;1
BVL;31;Strukton Rail;20221206;C;20;1
